Time,PRECIP,PET_Pristley-Taylor(mm),runoff,srad(W/m2),tmax(C),tmin(C),vp(Pa)
1980-1-1,0,0.321983356,0.9061,252.86,8.5,-5.16,426.99
1980-1-2,0,0.402793705,0.9061,200.27,5.74,-2.5,520
1980-1-3,0,0.409208823,0.8778,188.7,4.94,-2.56,515.56
1980-1-4,6.05,0.374889969,0.8495,139.87,2.13,-5.14,428.73
1980-1-5,11,0.39685889,0.9628,91.24,0.32,-4,440
1980-1-6,0,0.306036083,0.9628,240.32,0,-10.62,280
1980-1-7,1,0.306876462,0.9345,293.85,3.98,-9.96,280
1980-1-8,0,0.454766947,1.0477,136.13,3.5,-1.37,560
1980-1-9,0.58,0.411209262,1.0194,145.1,0.99,-4.24,440
1980-1-10,0,0.354693532,0.9061,249.95,2.72,-8.48,319.7
1980-1-11,14.18,0.375282641,1.0477,224.7,12.5,-4.53,438.32
1980-1-12,13.89,0.459646569,2.1238,201.6,13.5,-1.2,560
1980-1-13,0,0.419291496,1.9822,223.56,3.19,-5.64,400
1980-1-14,0,0.550934931,1.6141,247.67,12.44,1.24,660.05
1980-1-15,0,0.666492468,1.4158,186.21,13.09,6,920
1980-1-16,0,0.560178139,1.2743,239.07,10.5,0.5,640
1980-1-17,0,0.556048803,1.2176,170.69,6.52,0.54,638.42
1980-1-18,15,0.570199112,1.2459,75.18,5.49,2.24,720
1980-1-19,12.22,0.59526881,1.9539,110.8,7,2,720
1980-1-20,0,0.555952557,1.8689,218.77,6.5,-1.5,560
1980-1-21,0,0.510596682,1.5574,244.81,4.66,-4.68,440
1980-1-22,8.37,0.527047388,1.4158,205.79,6.79,-5,440
1980-1-23,6.79,0.586740524,1.9539,164.84,6.26,-1.5,560
1980-1-24,0,0.473687866,1.8406,212.11,0,-7.13,360
1980-1-25,0,0.532974358,1.5857,206.9,2.35,-4.53,440
1980-1-26,0,0.558811371,1.4158,226,3.43,-4.27,440
1980-1-27,0,0.54610916,1.2743,260,3.15,-6.31,375.49
1980-1-28,0,0.609940322,1.2176,217.63,4.5,-2.7,504.12
1980-1-29,0,0.586305178,1.161,218.73,2.96,-4.15,440
1980-1-30,0,0.512652375,1.1044,204.17,-0.98,-7.34,360
1980-1-31,0,0.490392645,1.0477,197.96,-2.5,-8.39,320
1980-2-1,0,0.471591452,0.9911,241.97,-3.5,-11,280
1980-2-2,0,0.501362328,0.9061,249.98,-2.5,-10.27,280
1980-2-3,0,0.542060241,0.8495,272.73,-0.9,-9.78,280
1980-2-4,0,0.578247549,0.8778,293.3,0.5,-9.69,280
1980-2-5,0,0.608979511,0.8778,281.4,1,-8.29,320
1980-2-6,0,0.607091868,0.8778,300.21,0.61,-9.5,280
1980-2-7,0,0.692634694,0.9345,219.91,2.84,-3.5,480
1980-2-8,0,0.74484837,0.9061,284.94,4.5,-4.73,440
1980-2-9,0,0.690399957,0.9061,236.68,1.84,-4.94,434.72
1980-2-10,0.12,0.70511124,0.9061,278.02,1.93,-6.08,393.99
1980-2-11,0,0.728184049,0.8778,359.72,3.41,-10.5,280
1980-2-12,0,0.749123125,0.8778,260.18,2.5,-4.52,440
1980-2-13,0,0.778293059,0.8495,351.9,3.48,-8.67,320
1980-2-14,0,0.956138718,0.8495,373.08,9.5,-6.27,378.67
1980-2-15,0,0.917904906,0.8778,327.57,6.4,-4.08,440
1980-2-16,12.16,0.925064624,1.076,216.4,5.99,-2.33,520
1980-2-17,0,0.756611276,1.2176,267.49,0.5,-6.77,360
1980-2-18,0,0.823565991,1.0194,365.59,2.37,-10.69,280
1980-2-19,0,1.006853081,0.9345,361.13,7,-5.87,397.56
1980-2-20,0,1.178733329,0.9345,380.67,11.5,-4.24,440
1980-2-21,0,1.338554832,0.9628,376.13,14.5,-0.65,587.75
1980-2-22,6,1.192544174,1.1044,203.99,10.16,2.31,720
1980-2-23,2,1.339988911,1.1893,318.46,12.75,2.76,741.16
1980-2-24,1.08,1.336445024,1.1327,304.95,12.22,3,760
1980-2-25,4.03,1.160650304,1.161,210.6,7.88,-0.02,600
1980-2-26,0,0.933250902,1.1893,258.24,2,-4.8,440
1980-2-27,0,1.054657471,1.0194,378.6,3.99,-8.5,320
1980-2-28,3,0.929462356,0.9628,225.52,1,-6.14,388.72
1980-2-29,0,0.766363005,0.9061,342.56,-4,-12.32,240
1980-3-1,2,0.701024581,0.7362,317.7,-6,-13.42,206.1
1980-3-2,3.98,0.728983279,0.7646,198.07,-5,-10.84,280
1980-3-3,0,1.042890157,0.8212,425.64,1.5,-10.13,280
1980-3-4,0,1.358281144,0.8778,470.11,7.94,-7.47,360
1980-3-5,1,1.423354287,0.9911,332.96,9.5,1.38,670.4
1980-3-6,0,1.428258492,1.0477,348.02,9,0.5,640
